Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel
2000-01-01,194410.47619047618,202645.2,308156.82,634667.06
2000-02-01,174710.55238095237,205530.96,307766.31,642380.66
2000-03-01,189234.06666666668,229499.56,331910.29,699807.25
2000-04-01,174330.60714285713,210680.4,315648.08,586803.98
2000-05-01,191745.14761904764,208164.34,319667.97,656948.2
2000-06-01,196321.93333333335,195088.74,300347.7,570919.88
2000-07-01,192344.50238095238,204556.77,308305.93,576436.02
2000-08-01,203727.08095238093,218388.51,323011.86,593770.77
2000-09-01,194565.09761904762,213906.96,326455.72,590145.4
2000-10-01,210261.82619047622,213606.65,323843.63,641113.36
2000-11-01,205027.95261904763,209227.48,320788.08,657086.3
2000-12-01,200247.555,230020.7,366987.56,673282.26
2001-01-01,179405.99027777778,164547.3516666666,300242.7816666665,569328.7870238096
2001-02-01,167818.1378968254,174838.8116666666,301483.401666666,597749.8317857146
2001-03-01,186397.3259920635,201992.6516666666,355572.831666666,736085.9732142859
2001-04-01,175820.34503968255,198683.3916666666,355826.761666666,606257.6589285719
2001-05-01,178303.33075396824,182504.09166666662,336040.041666666,664082.6575
2001-06-01,177826.92837301586,201379.4816666666,308804.7016666665,559333.0336904764
2001-07-01,191041.99027777778,214980.2416666666,350501.971666667,589452.7346428575
2001-08-01,190295.99027777778,204646.771666667,348414.6516666665,568546.3746428574
2001-09-01,184039.99027777778,188292.3516666666,324393.9616666665,533108.3946428574
2001-10-01,206176.99027777778,225240.9516666666,366261.631666666,603371.1846428574
2001-11-01,201335.99027777778,210324.9516666666,351890.631666666,626156.1846428574
2001-12-01,209792.99027777778,223209.9516666666,403561.631666666,664190.1846428574
2002-01-01,196068.60873015874,200309.85166666665,368935.52583333326,726672.5991666663
2002-02-01,180209.8015873016,183119.34166666665,348917.78583333327,694344.7791666662
2002-03-01,186680.96587301587,212711.71166666664,385044.96583333326,656379.2891666662
2002-04-01,196167.1611111111,204765.62166666664,379741.9758333333,683646.1691666662
2002-05-01,201612.35634920635,201083.51166666663,375054.63583333325,707165.4691666663
2002-06-01,193024.39920634922,187629.42166666663,371138.58583333326,667820.7091666663
2002-07-01,204196.24444444446,201692.64166666663,399944.64583333326,656761.5991666663
2002-08-01,213625.43253968254,205240.77166666664,392355.6158333333,657099.7391666662
2002-09-01,209849.7587301588,177614.80166666664,347191.43583333323,653664.5991666663
2002-10-01,212932.32777777783,203097.24166666664,381595.19583333324,653053.2691666662
2002-11-01,210000.54682539683,207629.81166666665,384334.21583333326,671401.3291666663
2002-12-01,223830.39682539683,199619.27166666664,400645.4158333333,676192.4491666663
2003-01-01,213268.97857142857,193713.62,376516.58,769843.3
2003-02-01,206815.0119047619,184354.61,355760.81,709783.58
2003-03-01,216427.95,201443.37,361880.87,786484.49
2003-04-01,204403.5119047619,219004.31249999997,377395.17,709626.3875
2003-05-01,216452.75214285718,200407.18,390624.27,755982.05
2003-06-01,212069.04047619048,168327.72,346941.84,641540.08
2003-07-01,231172.01428571428,174317.57,377178.84,631704.12
2003-08-01,222312.70714285717,171665.05,355682.72,613428.55
2003-09-01,225703.05,174757.95,348659.02,582989.47
2003-10-01,239665.04285714283,209314.45,392041.78,722763.6
2003-11-01,229612.35476190477,168510.0,330640.23,639828.39
2003-12-01,247544.63809523807,196081.99,391327.66,652872.45
2004-01-01,235284.96571428573,203975.57,381547.72,656987.4
2004-02-01,213288.68333333332,180290.24,339576.46,659540.43
2004-03-01,233426.35476190475,206455.62,379687.46,746236.84
2004-04-01,217530.87619047618,182379.92,357595.81,633766.06
2004-05-01,225959.05023809522,160741.9,322596.73,556369.7
2004-06-01,225673.46404761903,164782.5,318811.5,560393.48
2004-07-01,243064.07285714286,182642.41,346413.66,583098.546
2004-08-01,236324.7680952381,207432.8,390304.28,699610.8
2004-09-01,225204.18023809523,194240.55,364689.84,612639.57
